"","Gene_ID","intron_id"
"50","000000F_DK2_H1.63","000000F_DK2_H1_102816_102837"
"51","000000F_DK2_H1.63","000000F_DK2_H1_102898_102920"
"52","000000F_DK2_H1.63","000000F_DK2_H1_103159_103179"
"53","000000F_DK2_H1.63","000000F_DK2_H1_103822_103843"
"54","000000F_DK2_H1.73","000000F_DK2_H1_128241_128271"
"55","000000F_DK2_H1.73","000000F_DK2_H1_128432_128459"
"56","000000F_DK2_H1.73","000000F_DK2_H1_128816_128843"
"57","000000F_DK2_H1.73","000000F_DK2_H1_129351_129371"
"58","000000F_DK2_H1.73","000000F_DK2_H1_129655_129679"
"59","000000F_DK2_H1.75","000000F_DK2_H1_131897_131914"
"60","000000F_DK2_H1.76","000000F_DK2_H1_135183_135211"
"61","000000F_DK2_H1.76","000000F_DK2_H1_135448_135470"
"62","000000F_DK2_H1.79","000000F_DK2_H1_142782_142803"
"63","000000F_DK2_H1.79","000000F_DK2_H1_142908_142931"
"64","000000F_DK2_H1.79","000000F_DK2_H1_143115_143139"
"65","000000F_DK2_H1.79","000000F_DK2_H1_143854_143875"
"66","000000F_DK2_H1.79","000000F_DK2_H1_144242_144265"
"67","000000F_DK2_H1.79","000000F_DK2_H1_145145_145168"
"68","000000F_DK2_H1.79","000000F_DK2_H1_145418_145442"
"69","000000F_DK2_H1.79","000000F_DK2_H1_145530_145599"
"70","000000F_DK2_H1.79","000000F_DK2_H1_145867_145891"
"71","000000F_DK2_H1.79","000000F_DK2_H1_146036_146057"
"72","000000F_DK2_H1.83","000000F_DK2_H1_155855_155875"
"73","000000F_DK2_H1.83","000000F_DK2_H1_155975_155996"
"74","000000F_DK2_H1.83","000000F_DK2_H1_156090_156111"
"75","000000F_DK2_H1.83","000000F_DK2_H1_156301_156325"
"76","000000F_DK2_H1.88","000000F_DK2_H1_165534_165556"
"77","000000F_DK2_H1.88","000000F_DK2_H1_169419_169465"
"78","000000F_DK2_H1.88","000000F_DK2_H1_169845_169869"
"79","000000F_DK2_H1.91","000000F_DK2_H1_173603_173623"
"80","000000F_DK2_H1.97","000000F_DK2_H1_200522_200544"
"81","000000F_DK2_H1.97","000000F_DK2_H1_200681_200701"
"82","000000F_DK2_H1.97","000000F_DK2_H1_201090_201114"
"83","000000F_DK2_H1.97","000000F_DK2_H1_201819_201840"
"84","000000F_DK2_H1.108","000000F_DK2_H1_208951_208996"
"85","000000F_DK2_H1.108","000000F_DK2_H1_209194_209215"
"86","000000F_DK2_H1.108","000000F_DK2_H1_209546_209569"
"87","000000F_DK2_H1.112","000000F_DK2_H1_214080_214105"
"88","000000F_DK2_H1.112","000000F_DK2_H1_214179_214204"
"89","000000F_DK2_H1.112","000000F_DK2_H1_214588_214611"
"90","000000F_DK2_H1.112","000000F_DK2_H1_214915_214943"
"91","000000F_DK2_H1.115","000000F_DK2_H1_220133_220155"
"92","000000F_DK2_H1.115","000000F_DK2_H1_220391_220416"
"93","000000F_DK2_H1.115","000000F_DK2_H1_220689_220712"
"94","000000F_DK2_H1.115","000000F_DK2_H1_220919_220943"
"95","000000F_DK2_H1.120","000000F_DK2_H1_234068_234105"
"96","000000F_DK2_H1.120","000000F_DK2_H1_234319_234345"
"97","000000F_DK2_H1.120","000000F_DK2_H1_235003_235026"
"98","000000F_DK2_H1.131","000000F_DK2_H1_248416_248438"
"99","000000F_DK2_H2.10","000000F_DK2_H2_15183_15206"
"100","000000F_DK2_H2.10","000000F_DK2_H2_15432_15453"
"101","000000F_DK2_H2.17","000000F_DK2_H2_28785_28810"
"102","000000F_DK2_H2.17","000000F_DK2_H2_28917_28947"
"103","000000F_DK2_H2.17","000000F_DK2_H2_29279_29303"
"104","000000F_DK2_H2.24","000000F_DK2_H2_41312_41334"
"105","000000F_DK2_H2.24","000000F_DK2_H2_41429_41454"
"106","000000F_DK2_H2.24","000000F_DK2_H2_41691_41716"
"107","000000F_DK2_H2.24","000000F_DK2_H2_41999_42024"
"108","000000F_DK2_H2.24","000000F_DK2_H2_42589_42610"
"109","000000F_DK2_H2.33","000000F_DK2_H2_52101_52123"
"110","000000F_DK2_H2.37","000000F_DK2_H2_57971_57992"
"111","000000F_DK2_H2.37","000000F_DK2_H2_58126_58145"
"112","000000F_DK2_H2.42","000000F_DK2_H2_66677_66701"
"113","000000F_DK2_H2.42","000000F_DK2_H2_66738_66762"
"114","000000F_DK2_H2.42","000000F_DK2_H2_66929_66954"
"115","000000F_DK2_H2.42","000000F_DK2_H2_67186_67210"
"116","000000F_DK2_H2.42","000000F_DK2_H2_67650_67674"
"117","000000F_DK2_H2.42","000000F_DK2_H2_68890_68918"
"118","000000F_DK2_H2.42","000000F_DK2_H2_69692_69716"
"119","000000F_DK2_H2.42","000000F_DK2_H2_69931_69955"
"120","000000F_DK2_H2.42","000000F_DK2_H2_70361_70383"
"121","000000F_DK2_H2.44","000000F_DK2_H2_73874_73896"
"122","000000F_DK2_H2.44","000000F_DK2_H2_74633_74656"
"123","000000F_DK2_H2.45","000000F_DK2_H2_76750_76774"
"124","000000F_DK2_H2.45","000000F_DK2_H2_76832_76853"
"125","000000F_DK2_H2.56","000000F_DK2_H2_91260_91282"
"126","000000F_DK2_H2.56","000000F_DK2_H2_92713_92734"
"127","000000F_DK2_H2.59","000000F_DK2_H2_95235_95255"
"128","000000F_DK2_H2.59","000000F_DK2_H2_95416_95437"
"129","000000F_DK2_H2.59","000000F_DK2_H2_95545_95563"
"130","000000F_DK2_H2.59","000000F_DK2_H2_95750_95775"
"131","000000F_DK2_H2.59","000000F_DK2_H2_97810_97834"
"132","000000F_DK2_H2.59","000000F_DK2_H2_98396_98417"
"133","000000F_DK2_H2.59","000000F_DK2_H2_98588_98612"
"134","000000F_DK2_H2.59","000000F_DK2_H2_99206_99232"
"135","000000F_DK2_H2.59","000000F_DK2_H2_99455_99480"
"136","000000F_DK2_H2.63","000000F_DK2_H2_105018_105039"
"137","000000F_DK2_H2.72","000000F_DK2_H2_129664_129685"
"138","000000F_DK2_H2.72","000000F_DK2_H2_129969_129993"
"139","000000F_DK2_H2.72","000000F_DK2_H2_130257_130356"
"140","000000F_DK2_H2.72","000000F_DK2_H2_131062_131083"
"141","000000F_DK2_H2.75","000000F_DK2_H2_137075_137096"
"142","000000F_DK2_H2.75","000000F_DK2_H2_137201_137224"
"143","000000F_DK2_H2.75","000000F_DK2_H2_137408_137441"
"144","000000F_DK2_H2.75","000000F_DK2_H2_138177_138198"
"145","000000F_DK2_H2.75","000000F_DK2_H2_138565_138588"
"146","000000F_DK2_H2.75","000000F_DK2_H2_139462_139485"
"147","000000F_DK2_H2.75","000000F_DK2_H2_139735_139759"
"148","000000F_DK2_H2.75","000000F_DK2_H2_139895_139916"
"149","000000F_DK2_H2.75","000000F_DK2_H2_140184_140211"
"150","000000F_DK2_H2.75","000000F_DK2_H2_140356_140378"
"151","000000F_DK2_H2.78","000000F_DK2_H2_150593_150614"
"152","000000F_DK2_H2.78","000000F_DK2_H2_150719_150742"
"153","000000F_DK2_H2.78","000000F_DK2_H2_150926_150950"
"154","000000F_DK2_H2.78","000000F_DK2_H2_151662_151684"
"155","000000F_DK2_H2.78","000000F_DK2_H2_152051_152074"
"156","000000F_DK2_H2.78","000000F_DK2_H2_152954_152977"
"157","000000F_DK2_H2.78","000000F_DK2_H2_153227_153251"
"158","000000F_DK2_H2.78","000000F_DK2_H2_153387_153409"
"159","000000F_DK2_H2.78","000000F_DK2_H2_153677_153701"
"160","000000F_DK2_H2.78","000000F_DK2_H2_153846_153867"
"161","000000F_DK2_H2.82","000000F_DK2_H2_160864_160885"
"162","000000F_DK2_H2.82","000000F_DK2_H2_165027_165054"
"163","000000F_DK2_H2.82","000000F_DK2_H2_165258_165277"
"164","000000F_DK2_H2.87","000000F_DK2_H2_176721_176743"
"165","000000F_DK2_H2.87","000000F_DK2_H2_176845_176864"
"166","000000F_DK2_H2.87","000000F_DK2_H2_177807_177828"
"167","000000F_DK2_H2.87","000000F_DK2_H2_178198_178219"
"168","000000F_DK2_H2.87","000000F_DK2_H2_179084_179104"
"169","000000F_DK2_H2.87","000000F_DK2_H2_179345_179370"
"170","000000F_DK2_H2.87","000000F_DK2_H2_179503_179528"
"171","000000F_DK2_H2.87","000000F_DK2_H2_179796_179818"
"172","000000F_DK2_H2.87","000000F_DK2_H2_179969_179989"
"173","000000F_DK2_H2.87","000000F_DK2_H2_180419_180443"
"174","000000F_DK2_H2.88","000000F_DK2_H2_182693_182715"
"175","000000F_DK2_H2.88","000000F_DK2_H2_187011_187033"
"176","000000F_DK2_H2.90","000000F_DK2_H2_189151_189175"
"177","000000F_DK2_H2.91","000000F_DK2_H2_189676_189698"
"178","000000F_DK2_H2.91","000000F_DK2_H2_190755_190776"
"179","000000F_DK2_H2.91","000000F_DK2_H2_191146_191165"
"180","000000F_DK2_H2.91","000000F_DK2_H2_192039_192059"
"181","000000F_DK2_H2.91","000000F_DK2_H2_192300_192325"
"182","000000F_DK2_H2.91","000000F_DK2_H2_192458_192482"
"183","000000F_DK2_H2.91","000000F_DK2_H2_192750_192770"
"184","000000F_DK2_H2.91","000000F_DK2_H2_192921_192940"
"185","000000F_DK2_H2.92","000000F_DK2_H2_195627_195649"
"186","000000F_DK2_H2.92","000000F_DK2_H2_199945_199968"
"187","000000F_DK2_H2.95","000000F_DK2_H2_204694_204716"
"188","000000F_DK2_H2.95","000000F_DK2_H2_205182_205207"
"189","000000F_DK2_H2.95","000000F_DK2_H2_205597_205623"
"190","000000F_DK2_H2.109","000000F_DK2_H2_218818_218839"
"191","000000F_DK2_H2.109","000000F_DK2_H2_219692_219719"
"192","000000F_DK2_H2.109","000000F_DK2_H2_220104_220128"
"193","000000F_DK2_H2.111","000000F_DK2_H2_222122_222143"
"194","000000F_DK2_H2.111","000000F_DK2_H2_222607_222636"
"195","000000F_DK2_H2.115","000000F_DK2_H2_233201_233225"
"196","000000F_DK2_H2.128","000000F_DK2_H2_248720_248742"
"197","000001F_DK2_H1.1","000001F_DK2_H1_1623_1661"
"198","000001F_DK2_H1.6","000001F_DK2_H1_12068_12089"
"199","000001F_DK2_H1.6","000001F_DK2_H1_13127_13149"
"200","000001F_DK2_H1.8","000001F_DK2_H1_14529_14551"
"201","000001F_DK2_H1.11","000001F_DK2_H1_18715_18739"
"202","000001F_DK2_H1.11","000001F_DK2_H1_18970_18994"
"203","000001F_DK2_H1.11","000001F_DK2_H1_19706_19728"
"204","000001F_DK2_H1.11","000001F_DK2_H1_20524_20549"
"205","000001F_DK2_H1.11","000001F_DK2_H1_22502_22524"
"206","000001F_DK2_H1.11","000001F_DK2_H1_22829_22850"
"207","000001F_DK2_H1.12","000001F_DK2_H1_23452_23468"
"208","000001F_DK2_H1.12","000001F_DK2_H1_24716_24740"
"209","000001F_DK2_H1.12","000001F_DK2_H1_24846_24867"
"210","000001F_DK2_H1.12","000001F_DK2_H1_25010_25102"
"211","000001F_DK2_H1.12","000001F_DK2_H1_25170_25193"
"212","000001F_DK2_H1.12","000001F_DK2_H1_25355_25401"
"213","000001F_DK2_H1.12","000001F_DK2_H1_26113_26134"
"214","000001F_DK2_H1.12","000001F_DK2_H1_26418_26438"
"215","000001F_DK2_H1.12","000001F_DK2_H1_26571_26597"
"216","000001F_DK2_H1.13","000001F_DK2_H1_30550_30573"
"217","000001F_DK2_H1.16","000001F_DK2_H1_40426_40453"
"218","000001F_DK2_H1.25","000001F_DK2_H1_82326_82348"
"219","000001F_DK2_H1.25","000001F_DK2_H1_82542_82563"
"220","000001F_DK2_H1.25","000001F_DK2_H1_84124_84161"
"221","000001F_DK2_H1.25","000001F_DK2_H1_84916_84937"
"222","000001F_DK2_H1.39","000001F_DK2_H1_99441_99464"
"223","000001F_DK2_H1.44","000001F_DK2_H1_107868_107960"
"224","000001F_DK2_H1.44","000001F_DK2_H1_108143_108165"
"225","000001F_DK2_H1.54","000001F_DK2_H1_112662_112684"
"226","000001F_DK2_H1.54","000001F_DK2_H1_112826_112899"
"227","000001F_DK2_H1.73","000001F_DK2_H1_158433_158454"
"228","000001F_DK2_H1.73","000001F_DK2_H1_159144_159167"
"229","000001F_DK2_H1.74","000001F_DK2_H1_160930_160953"
"230","000001F_DK2_H1.74","000001F_DK2_H1_161763_161785"
"231","000001F_DK2_H1.76","000001F_DK2_H1_162920_162948"
"232","000001F_DK2_H1.80","000001F_DK2_H1_166056_166078"
"233","000001F_DK2_H1.80","000001F_DK2_H1_166231_166252"
"234","000001F_DK2_H1.83","000001F_DK2_H1_170340_170367"
"235","000001F_DK2_H1.85","000001F_DK2_H1_171503_171528"
"236","000001F_DK2_H1.90","000001F_DK2_H1_176793_176815"
"237","000001F_DK2_H1.93","000001F_DK2_H1_179576_179597"
"238","000001F_DK2_H1.93","000001F_DK2_H1_179849_179869"
"239","000001F_DK2_H1.93","000001F_DK2_H1_179998_180020"
"240","000001F_DK2_H1.93","000001F_DK2_H1_180114_180139"
"241","000001F_DK2_H1.93","000001F_DK2_H1_180300_180331"
"242","000001F_DK2_H1.93","000001F_DK2_H1_180662_180684"
"243","000001F_DK2_H1.93","000001F_DK2_H1_180857_180879"
"244","000001F_DK2_H1.94","000001F_DK2_H1_182152_182174"
"245","000001F_DK2_H1.95","000001F_DK2_H1_182972_182992"
"246","000001F_DK2_H1.95","000001F_DK2_H1_183125_183146"
"247","000001F_DK2_H1.95","000001F_DK2_H1_183831_183906"
"248","000001F_DK2_H1.95","000001F_DK2_H1_183949_183977"
"249","000001F_DK2_H1.95","000001F_DK2_H1_184127_184149"
"250","000001F_DK2_H1.100","000001F_DK2_H1_186347_186375"
"251","000001F_DK2_H1.104","000001F_DK2_H1_191673_191689"
"252","000001F_DK2_H1.104","000001F_DK2_H1_191812_191834"
"253","000001F_DK2_H1.104","000001F_DK2_H1_192124_192141"
"254","000001F_DK2_H1.104","000001F_DK2_H1_192524_192562"
"255","000001F_DK2_H1.104","000001F_DK2_H1_192869_192892"
"256","000001F_DK2_H1.105","000001F_DK2_H1_193439_193499"
"257","000001F_DK2_H1.105","000001F_DK2_H1_193851_193939"
"258","000001F_DK2_H2.9","000001F_DK2_H2_15418_15438"
"259","000001F_DK2_H2.9","000001F_DK2_H2_16408_16430"
"260","000001F_DK2_H2.9","000001F_DK2_H2_16581_16616"
"261","000001F_DK2_H2.9","000001F_DK2_H2_17105_17131"
"262","000001F_DK2_H2.15","000001F_DK2_H2_34112_34136"
"263","000001F_DK2_H2.15","000001F_DK2_H2_34243_34267"
"264","000001F_DK2_H2.15","000001F_DK2_H2_34570_34591"
"265","000001F_DK2_H2.15","000001F_DK2_H2_35830_35853"
"266","000001F_DK2_H2.15","000001F_DK2_H2_35986_36010"
"267","000001F_DK2_H2.15","000001F_DK2_H2_40019_40042"
"268","000001F_DK2_H2.18","000001F_DK2_H2_46173_46195"
"269","000001F_DK2_H2.18","000001F_DK2_H2_46302_46326"
"270","000001F_DK2_H2.18","000001F_DK2_H2_46629_46653"
"271","000001F_DK2_H2.18","000001F_DK2_H2_47892_47915"
"272","000001F_DK2_H2.18","000001F_DK2_H2_48048_48072"
"273","000001F_DK2_H2.18","000001F_DK2_H2_52066_52090"
"274","000001F_DK2_H2.18","000001F_DK2_H2_52339_52364"
"275","000001F_DK2_H2.18","000001F_DK2_H2_52478_52501"
"276","000001F_DK2_H2.19","000001F_DK2_H2_55311_55333"
"277","000001F_DK2_H2.19","000001F_DK2_H2_55614_55636"
"278","000001F_DK2_H2.19","000001F_DK2_H2_55936_55956"
"279","000001F_DK2_H2.19","000001F_DK2_H2_57204_57227"
"280","000001F_DK2_H2.19","000001F_DK2_H2_57360_57385"
"281","000001F_DK2_H2.19","000001F_DK2_H2_61415_61439"
"282","000001F_DK2_H2.19","000001F_DK2_H2_61688_61711"
"283","000001F_DK2_H2.19","000001F_DK2_H2_61825_61849"
"284","000001F_DK2_H2.35","000001F_DK2_H2_92458_92486"
"285","000001F_DK2_H2.35","000001F_DK2_H2_92678_92704"
"286","000001F_DK2_H2.35","000001F_DK2_H2_92810_92831"
"287","000001F_DK2_H2.35","000001F_DK2_H2_93047_93071"
"288","000001F_DK2_H2.44","000001F_DK2_H2_107940_107961"
"289","000001F_DK2_H2.44","000001F_DK2_H2_108144_108166"
"290","000001F_DK2_H2.44","000001F_DK2_H2_111118_111140"
"291","000001F_DK2_H2.44","000001F_DK2_H2_111346_111369"
"292","000001F_DK2_H2.44","000001F_DK2_H2_111437_111464"
"293","000001F_DK2_H2.47","000001F_DK2_H2_113237_113261"
"294","000001F_DK2_H2.47","000001F_DK2_H2_113809_113833"
"295","000001F_DK2_H2.47","000001F_DK2_H2_114946_114973"
"296","000001F_DK2_H2.48","000001F_DK2_H2_115606_115629"
"297","000001F_DK2_H2.48","000001F_DK2_H2_115701_115726"
"298","000001F_DK2_H2.48","000001F_DK2_H2_115924_115946"
"299","000001F_DK2_H2.52","000001F_DK2_H2_120112_120137"
"300","000001F_DK2_H2.52","000001F_DK2_H2_120365_120389"
"301","000001F_DK2_H2.52","000001F_DK2_H2_120552_120574"
"302","000001F_DK2_H2.53","000001F_DK2_H2_121339_121361"
"303","000001F_DK2_H2.53","000001F_DK2_H2_121982_122004"
"304","000001F_DK2_H2.53","000001F_DK2_H2_123619_123641"
"305","000001F_DK2_H2.53","000001F_DK2_H2_123804_123828"
"306","000001F_DK2_H2.53","000001F_DK2_H2_123989_124010"
"307","000001F_DK2_H2.53","000001F_DK2_H2_124173_124195"
"308","000001F_DK2_H2.58","000001F_DK2_H2_138184_138205"
"309","000001F_DK2_H2.58","000001F_DK2_H2_138372_138393"
"310","000001F_DK2_H2.58","000001F_DK2_H2_138479_138503"
"311","000001F_DK2_H2.58","000001F_DK2_H2_138809_138828"
"312","000001F_DK2_H2.58","000001F_DK2_H2_139043_139067"
"313","000001F_DK2_H2.58","000001F_DK2_H2_139283_139305"
"314","000001F_DK2_H2.59","000001F_DK2_H2_139474_139497"
"315","000001F_DK2_H2.59","000001F_DK2_H2_139628_139653"
"316","000001F_DK2_H2.59","000001F_DK2_H2_139938_139960"
"317","000001F_DK2_H2.59","000001F_DK2_H2_140636_140663"
"318","000001F_DK2_H2.59","000001F_DK2_H2_141112_141134"
"319","000001F_DK2_H2.59","000001F_DK2_H2_141359_141384"
"320","000001F_DK2_H2.59","000001F_DK2_H2_142136_142158"
"321","000001F_DK2_H2.59","000001F_DK2_H2_142321_142346"
"322","000001F_DK2_H2.62","000001F_DK2_H2_148880_148907"
"323","000001F_DK2_H2.62","000001F_DK2_H2_149054_149077"
"324","000001F_DK2_H2.62","000001F_DK2_H2_149248_149272"
"325","000001F_DK2_H2.62","000001F_DK2_H2_150499_150522"
"326","000001F_DK2_H2.70","000001F_DK2_H2_163832_163849"
"327","000001F_DK2_H2.70","000001F_DK2_H2_164051_164074"
"328","000001F_DK2_H2.77","000001F_DK2_H2_172445_172469"
"329","000001F_DK2_H2.78","000001F_DK2_H2_172797_172821"
"330","000001F_DK2_H2.78","000001F_DK2_H2_172892_172915"
"331","000001F_DK2_H2.78","000001F_DK2_H2_173109_173145"
"332","000001F_DK2_H2.78","000001F_DK2_H2_173478_173505"
"333","000001F_DK2_H2.79","000001F_DK2_H2_175369_175468"
"334","000001F_DK2_H2.80","000001F_DK2_H2_175831_175854"
"335","000001F_DK2_H2.80","000001F_DK2_H2_175961_175986"
"336","000001F_DK2_H2.80","000001F_DK2_H2_176046_176067"
"337","000001F_DK2_H2.80","000001F_DK2_H2_176165_176196"
"338","000001F_DK2_H2.91","000001F_DK2_H2_185818_185839"
"339","000001F_DK2_H2.91","000001F_DK2_H2_185913_185969"
"340","000001F_DK2_H2.91","000001F_DK2_H2_186104_186129"
"341","000002F_DK2_H1.1","000002F_DK2_H1_1553_1574"
"342","000002F_DK2_H1.1","000002F_DK2_H1_1704_1728"
"343","000002F_DK2_H1.2","000002F_DK2_H1_2341_2365"
"344","000002F_DK2_H1.5","000002F_DK2_H1_7920_7942"
"345","000002F_DK2_H1.5","000002F_DK2_H1_8681_8699"
"346","000002F_DK2_H1.7","000002F_DK2_H1_12679_12701"
"347","000002F_DK2_H1.8","000002F_DK2_H1_13025_13051"
"348","000002F_DK2_H1.11","000002F_DK2_H1_19780_19803"
"349","000002F_DK2_H1.11","000002F_DK2_H1_19962_19993"
"350","000002F_DK2_H1.11","000002F_DK2_H1_20204_20234"
"351","000002F_DK2_H1.11","000002F_DK2_H1_20447_20472"
"352","000002F_DK2_H1.11","000002F_DK2_H1_20582_20604"
"353","000002F_DK2_H1.11","000002F_DK2_H1_21631_21655"
"354","000002F_DK2_H1.13","000002F_DK2_H1_22844_22869"
"355","000002F_DK2_H1.13","000002F_DK2_H1_23242_23262"
"356","000002F_DK2_H1.13","000002F_DK2_H1_23949_23970"
"357","000002F_DK2_H1.14","000002F_DK2_H1_26394_26416"
"358","000002F_DK2_H1.14","000002F_DK2_H1_27174_27193"
"359","000002F_DK2_H1.17","000002F_DK2_H1_31348_31368"
"360","000002F_DK2_H1.17","000002F_DK2_H1_32444_32470"
"361","000002F_DK2_H1.17","000002F_DK2_H1_32878_32901"
"362","000002F_DK2_H1.19","000002F_DK2_H1_34396_34420"
"363","000002F_DK2_H1.19","000002F_DK2_H1_34614_34633"
"364","000002F_DK2_H1.19","000002F_DK2_H1_34738_34763"
"365","000002F_DK2_H1.19","000002F_DK2_H1_34921_34946"
"366","000002F_DK2_H1.22","000002F_DK2_H1_47641_47667"
"367","000002F_DK2_H1.22","000002F_DK2_H1_47751_47775"
"368","000002F_DK2_H1.22","000002F_DK2_H1_48189_48209"
"369","000002F_DK2_H1.22","000002F_DK2_H1_49186_49207"
"370","000002F_DK2_H1.22","000002F_DK2_H1_49353_49378"
"371","000002F_DK2_H1.25","000002F_DK2_H1_53226_53248"
"372","000002F_DK2_H1.26","000002F_DK2_H1_53920_53943"
"373","000002F_DK2_H1.26","000002F_DK2_H1_62176_62200"
"374","000002F_DK2_H1.39","000002F_DK2_H1_84882_84905"
"375","000002F_DK2_H1.39","000002F_DK2_H1_85143_85167"
"376","000002F_DK2_H1.39","000002F_DK2_H1_85231_85255"
"377","000002F_DK2_H1.39","000002F_DK2_H1_85337_85359"
"378","000002F_DK2_H1.39","000002F_DK2_H1_85423_85448"
"379","000002F_DK2_H1.45","000002F_DK2_H1_92204_92229"
"380","000002F_DK2_H1.47","000002F_DK2_H1_96031_96056"
"381","000002F_DK2_H1.47","000002F_DK2_H1_96148_96172"
"382","000002F_DK2_H1.50","000002F_DK2_H1_99059_99084"
"383","000002F_DK2_H1.55","000002F_DK2_H1_116974_117016"
"384","000002F_DK2_H1.69","000002F_DK2_H1_132873_132895"
"385","000002F_DK2_H1.69","000002F_DK2_H1_133146_133170"
"386","000002F_DK2_H1.69","000002F_DK2_H1_133343_133366"
"387","000002F_DK2_H1.69","000002F_DK2_H1_134082_134107"
"388","000002F_DK2_H1.69","000002F_DK2_H1_134767_134791"
"389","000002F_DK2_H1.70","000002F_DK2_H1_135135_135157"
"390","000002F_DK2_H1.70","000002F_DK2_H1_136498_136525"
"391","000002F_DK2_H1.70","000002F_DK2_H1_137581_137604"
"392","000002F_DK2_H1.76","000002F_DK2_H1_144229_144260"
"393","000002F_DK2_H1.76","000002F_DK2_H1_144335_144360"
"394","000002F_DK2_H1.76","000002F_DK2_H1_144605_144632"
"395","000002F_DK2_H1.76","000002F_DK2_H1_144740_144764"
"396","000002F_DK2_H1.76","000002F_DK2_H1_145038_145062"
"397","000002F_DK2_H1.77","000002F_DK2_H1_145776_145796"
"398","000002F_DK2_H1.77","000002F_DK2_H1_146022_146042"
"399","000002F_DK2_H1.77","000002F_DK2_H1_146198_146219"
"400","000002F_DK2_H1.77","000002F_DK2_H1_146506_146526"
"401","000002F_DK2_H1.83","000002F_DK2_H1_155957_155982"
"402","000002F_DK2_H1.83","000002F_DK2_H1_157085_157109"
"403","000002F_DK2_H1.83","000002F_DK2_H1_159316_159337"
"404","000002F_DK2_H1.85","000002F_DK2_H1_160962_160983"
"405","000002F_DK2_H1.85","000002F_DK2_H1_161062_161093"
"406","000002F_DK2_H1.85","000002F_DK2_H1_161472_161500"
"407","000002F_DK2_H1.86","000002F_DK2_H1_163283_163305"
"408","000002F_DK2_H1.87","000002F_DK2_H1_163658_163679"
"409","000002F_DK2_H1.87","000002F_DK2_H1_164038_164060"
"410","000002F_DK2_H1.87","000002F_DK2_H1_165748_165776"
