seqnames	strand	Gene_ID	intron_start	intron_end	intron_width	three_prime_end	five_prime_end	intron_midpoint	transcript_length	intron_to_5_end
000000F_DK2_H1	-	000000F_DK2_H1.40	65590	65624	35	61006	65832	65607	4826	0.046622461665975966
000000F_DK2_H1	-	000000F_DK2_H1.40	65764	65787	24	61006	65832	65775.5	4826	0.011707418151678408
000000F_DK2_H1	+	000000F_DK2_H1.45	70986	71008	23	73558	70928	70997	2630	0.02623574144486692
000000F_DK2_H1	+	000000F_DK2_H1.45	73125	73141	17	73558	70928	73133	2630	0.8384030418250951
000000F_DK2_H1	+	000000F_DK2_H1.48	75765	75850	86	77239	75697	75807.5	1542	0.07166018158236057
000000F_DK2_H1	+	000000F_DK2_H1.48	76605	76629	25	77239	75697	76617	1542	0.5966277561608301
000000F_DK2_H1	+	000000F_DK2_H1.48	76774	76849	76	77239	75697	76811.5	1542	0.7227626459143969
000000F_DK2_H1	+	000000F_DK2_H1.53	81575	81602	28	86142	81200	81588.5	4942	0.07861189801699717
000000F_DK2_H1	+	000000F_DK2_H1.53	84975	84997	23	86142	81200	84986	4942	0.7660866046135167
000000F_DK2_H1	+	000000F_DK2_H1.53	85234	85256	23	86142	81200	85245	4942	0.8184945366248483
000000F_DK2_H1	+	000000F_DK2_H1.54	86515	86540	26	87587	86423	86527.5	1164	0.0897766323024055
000000F_DK2_H1	+	000000F_DK2_H1.54	87036	87057	22	87587	86423	87046.5	1164	0.5356529209621993
000000F_DK2_H1	+	000000F_DK2_H1.54	87318	87343	26	87587	86423	87330.5	1164	0.779639175257732
000000F_DK2_H1	-	000000F_DK2_H1.55	88434	88456	23	87791	89162	88445	1371	0.5229759299781181
000000F_DK2_H1	-	000000F_DK2_H1.56	89400	89421	22	89294	90806	89410.5	1512	0.9229497354497355
000000F_DK2_H1	-	000000F_DK2_H1.56	89590	89611	22	89294	90806	89600.5	1512	0.7972883597883598
000000F_DK2_H1	-	000000F_DK2_H1.56	90034	90056	23	89294	90806	90045	1512	0.5033068783068783
000000F_DK2_H1	-	000000F_DK2_H1.56	90514	90544	31	89294	90806	90529	1512	0.1832010582010582
000000F_DK2_H1	-	000000F_DK2_H1.61	99612	99646	35	99421	100176	99629	755	0.7245033112582782
000000F_DK2_H1	-	000000F_DK2_H1.61	99909	99929	21	99421	100176	99919	755	0.3403973509933775
000000F_DK2_H1	-	000000F_DK2_H1.61	100001	100023	23	99421	100176	100012	755	0.21721854304635763
000000F_DK2_H1	-	000000F_DK2_H1.61	100065	100091	27	99421	100176	100078	755	0.12980132450331125
000000F_DK2_H1	-	000000F_DK2_H1.62	100653	100675	23	100185	102652	100664	2467	0.805837049047426
000000F_DK2_H1	-	000000F_DK2_H1.62	101505	101592	88	100185	102652	101548.5	2467	0.4473044183218484
000000F_DK2_H1	-	000000F_DK2_H1.62	101705	101725	21	100185	102652	101715	2467	0.379813538710985
000000F_DK2_H1	-	000000F_DK2_H1.62	101824	101849	26	100185	102652	101836.5	2467	0.33056343737332794
000000F_DK2_H1	-	000000F_DK2_H1.62	102563	102584	22	100185	102652	102573.5	2467	0.0318200243210377
000000F_DK2_H1	+	000000F_DK2_H1.63	102816	102837	22	104472	102674	102826.5	1798	0.08481646273637375
000000F_DK2_H1	+	000000F_DK2_H1.63	102898	102920	23	104472	102674	102909	1798	0.13070077864293658
000000F_DK2_H1	+	000000F_DK2_H1.63	103159	103179	21	104472	102674	103169	1798	0.2753058954393771
000000F_DK2_H1	+	000000F_DK2_H1.63	103822	103843	22	104472	102674	103832.5	1798	0.6443270300333704
000000F_DK2_H1	-	000000F_DK2_H1.67	110983	111004	22	110682	113689	110993.5	3007	0.8964083804456269
000000F_DK2_H1	-	000000F_DK2_H1.67	112276	112298	23	110682	113689	112287	3007	0.4662454273362155
000000F_DK2_H1	-	000000F_DK2_H1.67	113338	113359	22	110682	113689	113348.5	3007	0.11323578317259728
000000F_DK2_H1	-	000000F_DK2_H1.67	113520	113543	24	110682	113689	113531.5	3007	0.05237778516794147
000000F_DK2_H1	-	000000F_DK2_H1.68	114135	114155	21	113749	114334	114145	585	0.3230769230769231
000000F_DK2_H1	-	000000F_DK2_H1.68	114274	114293	20	113749	114334	114283.5	585	0.08632478632478632
000000F_DK2_H1	-	000000F_DK2_H1.69	114616	114638	23	114342	116964	114627	2622	0.8913043478260869
000000F_DK2_H1	-	000000F_DK2_H1.70	119247	119273	27	117061	122518	119260	5457	0.5970313358988455
000000F_DK2_H1	-	000000F_DK2_H1.70	119344	119366	23	117061	122518	119355	5457	0.5796225032068902
000000F_DK2_H1	-	000000F_DK2_H1.70	119790	119809	20	117061	122518	119799.5	5457	0.49816749129558363
000000F_DK2_H1	-	000000F_DK2_H1.70	120050	120070	21	117061	122518	120060	5457	0.45043063954553786
000000F_DK2_H1	-	000000F_DK2_H1.70	120944	120967	24	117061	122518	120955.5	5457	0.28632948506505407
000000F_DK2_H1	-	000000F_DK2_H1.70	121337	121360	24	117061	122518	121348.5	5457	0.21431189298149167
000000F_DK2_H1	-	000000F_DK2_H1.70	122096	122118	23	117061	122518	122107	5457	0.07531610775151182
000000F_DK2_H1	-	000000F_DK2_H1.70	122302	122323	22	117061	122518	122312.5	5457	0.03765805387575591
000000F_DK2_H1	-	000000F_DK2_H1.70	122425	122449	25	117061	122518	122437	5457	0.014843320505772403
000000F_DK2_H1	+	000000F_DK2_H1.73	128241	128271	31	130031	127952	128256	2079	0.14622414622414623
000000F_DK2_H1	+	000000F_DK2_H1.73	128432	128459	28	130031	127952	128445.5	2079	0.23737373737373738
000000F_DK2_H1	+	000000F_DK2_H1.73	128816	128843	28	130031	127952	128829.5	2079	0.42207792207792205
000000F_DK2_H1	+	000000F_DK2_H1.73	129351	129371	21	130031	127952	129361	2079	0.6777296777296777
000000F_DK2_H1	+	000000F_DK2_H1.73	129655	129679	25	130031	127952	129667	2079	0.8249158249158249
000000F_DK2_H1	+	000000F_DK2_H1.75	131897	131914	18	131932	131540	131905.5	392	0.9323979591836735
000000F_DK2_H1	+	000000F_DK2_H1.76	135183	135211	29	136356	133104	135197	3252	0.6436039360393604
000000F_DK2_H1	+	000000F_DK2_H1.76	135448	135470	23	136356	133104	135459	3252	0.724169741697417
000000F_DK2_H1	+	000000F_DK2_H1.79	142782	142803	22	148185	142716	142792.5	5469	0.013987931980252331
000000F_DK2_H1	+	000000F_DK2_H1.79	142908	142931	24	148185	142716	142919.5	5469	0.03720972755531176
000000F_DK2_H1	+	000000F_DK2_H1.79	143115	143139	25	148185	142716	143127	5469	0.07515085024684585
000000F_DK2_H1	+	000000F_DK2_H1.79	143854	143875	22	148185	142716	143864.5	5469	0.21000182848784055
000000F_DK2_H1	+	000000F_DK2_H1.79	144242	144265	24	148185	142716	144253.5	5469	0.2811300054854635
000000F_DK2_H1	+	000000F_DK2_H1.79	145145	145168	24	148185	142716	145156.5	5469	0.44624245748765773
000000F_DK2_H1	+	000000F_DK2_H1.79	145418	145442	25	148185	142716	145430	5469	0.49625159992686046
000000F_DK2_H1	+	000000F_DK2_H1.79	145530	145599	70	148185	142716	145564.5	5469	0.5208447613823368
000000F_DK2_H1	+	000000F_DK2_H1.79	145867	145891	25	148185	142716	145879	5469	0.5783507039678186
000000F_DK2_H1	+	000000F_DK2_H1.79	146036	146057	22	148185	142716	146046.5	5469	0.6089778752971293
000000F_DK2_H1	-	000000F_DK2_H1.80	148509	148531	23	148456	148946	148520	490	0.8693877551020408
000000F_DK2_H1	-	000000F_DK2_H1.80	148647	148668	22	148456	148946	148657.5	490	0.5887755102040816
000000F_DK2_H1	+	000000F_DK2_H1.83	155855	155875	21	157802	155747	155865	2055	0.05742092457420925
000000F_DK2_H1	+	000000F_DK2_H1.83	155975	155996	22	157802	155747	155985.5	2055	0.11605839416058394
000000F_DK2_H1	+	000000F_DK2_H1.83	156090	156111	22	157802	155747	156100.5	2055	0.17201946472019464
000000F_DK2_H1	+	000000F_DK2_H1.83	156301	156325	25	157802	155747	156313	2055	0.2754257907542579
000000F_DK2_H1	+	000000F_DK2_H1.88	165534	165556	23	170145	165303	165545	4842	0.049979347377116894
000000F_DK2_H1	+	000000F_DK2_H1.88	169419	169465	47	170145	165303	169442	4842	0.8548120611317638
000000F_DK2_H1	+	000000F_DK2_H1.88	169845	169869	25	170145	165303	169857	4842	0.9405204460966543
000000F_DK2_H1	+	000000F_DK2_H1.91	173603	173623	21	174386	173536	173613	850	0.09058823529411765
000000F_DK2_H1	+	000000F_DK2_H1.97	200522	200544	23	202002	200470	200533	1532	0.041122715404699736
000000F_DK2_H1	+	000000F_DK2_H1.97	200681	200701	21	202002	200470	200691	1532	0.14425587467362924
000000F_DK2_H1	+	000000F_DK2_H1.97	201090	201114	25	202002	200470	201102	1532	0.412532637075718
000000F_DK2_H1	+	000000F_DK2_H1.97	201819	201840	22	202002	200470	201829.5	1532	0.887402088772846
000000F_DK2_H1	-	000000F_DK2_H1.106	207112	207138	27	205544	207706	207125	2162	0.2687326549491212
000000F_DK2_H1	+	000000F_DK2_H1.108	208951	208996	46	209948	208592	208973.5	1356	0.28134218289085544
000000F_DK2_H1	+	000000F_DK2_H1.108	209194	209215	22	209948	208592	209204.5	1356	0.45169616519174044
000000F_DK2_H1	+	000000F_DK2_H1.108	209546	209569	24	209948	208592	209557.5	1356	0.7120206489675516
000000F_DK2_H1	-	000000F_DK2_H1.109	210248	210274	27	210061	211863	210261	1802	0.8890122086570478
000000F_DK2_H1	-	000000F_DK2_H1.109	210695	210719	25	210061	211863	210707	1802	0.6415094339622641
000000F_DK2_H1	-	000000F_DK2_H1.109	211138	211160	23	210061	211863	211149	1802	0.39622641509433965
000000F_DK2_H1	-	000000F_DK2_H1.109	211779	211807	29	210061	211863	211793	1802	0.038845726970033294
000000F_DK2_H1	-	000000F_DK2_H1.111	212211	212238	28	212124	213851	212224.5	1727	0.9418066010422699
000000F_DK2_H1	-	000000F_DK2_H1.111	212301	212328	28	212124	213851	212314.5	1727	0.8896931094383324
000000F_DK2_H1	-	000000F_DK2_H1.111	213515	213537	23	212124	213851	213526	1727	0.18818760856977418
000000F_DK2_H1	-	000000F_DK2_H1.111	213653	213690	38	212124	213851	213671.5	1727	0.10393746381007528
000000F_DK2_H1	+	000000F_DK2_H1.112	214080	214105	26	215067	213902	214092.5	1165	0.16351931330472103
000000F_DK2_H1	+	000000F_DK2_H1.112	214179	214204	26	215067	213902	214191.5	1165	0.24849785407725322
000000F_DK2_H1	+	000000F_DK2_H1.112	214588	214611	24	215067	213902	214599.5	1165	0.5987124463519313
000000F_DK2_H1	+	000000F_DK2_H1.112	214915	214943	29	215067	213902	214929	1165	0.8815450643776824
000000F_DK2_H1	+	000000F_DK2_H1.115	220133	220155	23	221105	220033	220144	1072	0.10354477611940298
000000F_DK2_H1	+	000000F_DK2_H1.115	220391	220416	26	221105	220033	220403.5	1072	0.345615671641791
000000F_DK2_H1	+	000000F_DK2_H1.115	220689	220712	24	221105	220033	220700.5	1072	0.6226679104477612
000000F_DK2_H1	+	000000F_DK2_H1.115	220919	220943	25	221105	220033	220931	1072	0.8376865671641791
000000F_DK2_H1	-	000000F_DK2_H1.118	224729	224751	23	224453	229349	224740	4896	0.9413807189542484
000000F_DK2_H1	-	000000F_DK2_H1.118	224975	225002	28	224453	229349	224988.5	4896	0.890625
000000F_DK2_H1	-	000000F_DK2_H1.118	227066	227101	36	224453	229349	227083.5	4896	0.4627246732026144
000000F_DK2_H1	-	000000F_DK2_H1.118	229069	229093	25	224453	229349	229081	4896	0.05473856209150327
000000F_DK2_H1	-	000000F_DK2_H1.119	229861	229883	23	229731	232431	229872	2700	0.9477777777777778
000000F_DK2_H1	-	000000F_DK2_H1.119	230012	230036	25	229731	232431	230024	2700	0.8914814814814814
000000F_DK2_H1	-	000000F_DK2_H1.119	231546	231572	27	229731	232431	231559	2700	0.32296296296296295
000000F_DK2_H1	-	000000F_DK2_H1.119	231880	231903	24	229731	232431	231891.5	2700	0.1998148148148148
000000F_DK2_H1	-	000000F_DK2_H1.119	232267	232289	23	229731	232431	232278	2700	0.056666666666666664
000000F_DK2_H1	+	000000F_DK2_H1.120	234068	234105	38	235129	233808	234086.5	1321	0.21082513247539741
000000F_DK2_H1	+	000000F_DK2_H1.120	234319	234345	27	235129	233808	234332	1321	0.39666919000757
000000F_DK2_H1	+	000000F_DK2_H1.120	235003	235026	24	235129	233808	235014.5	1321	0.9133232399697199
000000F_DK2_H1	-	000000F_DK2_H1.122	236498	236524	27	236351	237165	236511	814	0.8034398034398035
000000F_DK2_H1	-	000000F_DK2_H1.122	236791	236812	22	236351	237165	236801.5	814	0.4465601965601966
000000F_DK2_H1	-	000000F_DK2_H1.122	236893	236921	29	236351	237165	236907	814	0.31695331695331697
000000F_DK2_H1	-	000000F_DK2_H1.122	237049	237077	29	236351	237165	237063	814	0.12530712530712532
000000F_DK2_H1	-	000000F_DK2_H1.125	240325	240369	45	239923	242206	240347	2283	0.8142794568550153
000000F_DK2_H1	-	000000F_DK2_H1.125	240745	240768	24	239923	242206	240756.5	2283	0.63491020586947
000000F_DK2_H1	-	000000F_DK2_H1.125	241074	241095	22	239923	242206	241084.5	2283	0.49123959702146297
000000F_DK2_H1	-	000000F_DK2_H1.125	241467	241491	25	239923	242206	241479	2283	0.31844064826982044
000000F_DK2_H1	-	000000F_DK2_H1.125	241673	241695	23	239923	242206	241684	2283	0.22864651773981604
000000F_DK2_H1	-	000000F_DK2_H1.126	242480	242500	21	242250	242932	242490	682	0.6480938416422287
000000F_DK2_H1	-	000000F_DK2_H1.126	242855	242875	21	242250	242932	242865	682	0.09824046920821114
000000F_DK2_H1	-	000000F_DK2_H1.127	243137	243159	23	242953	244085	243148	1132	0.8277385159010601
000000F_DK2_H1	-	000000F_DK2_H1.127	243418	243441	24	242953	244085	243429.5	1132	0.5790636042402827
000000F_DK2_H1	-	000000F_DK2_H1.127	243689	243711	23	242953	244085	243700	1132	0.3401060070671378
000000F_DK2_H1	-	000000F_DK2_H1.127	243846	243867	22	242953	244085	243856.5	1132	0.20185512367491165
000000F_DK2_H1	-	000000F_DK2_H1.128	244782	244807	26	244703	247127	244794.5	2424	0.9622524752475248
000000F_DK2_H1	-	000000F_DK2_H1.128	245007	245029	23	244703	247127	245018	2424	0.870049504950495
000000F_DK2_H1	-	000000F_DK2_H1.128	246236	246262	27	244703	247127	246249	2424	0.36221122112211224
000000F_DK2_H1	-	000000F_DK2_H1.128	246830	246853	24	244703	247127	246841.5	2424	0.11778052805280528
000000F_DK2_H1	-	000000F_DK2_H1.128	247037	247064	28	244703	247127	247050.5	2424	0.03155940594059406
000000F_DK2_H1	+	000000F_DK2_H1.131	248416	248438	23	249774	248339	248427	1435	0.06132404181184669
000000F_DK2_H2	-	000000F_DK2_H2.7	8537	8559	23	8425	9667	8548	1242	0.9009661835748792
000000F_DK2_H2	-	000000F_DK2_H2.7	8834	8854	21	8425	9667	8844	1242	0.6626409017713365
000000F_DK2_H2	-	000000F_DK2_H2.7	8968	8990	23	8425	9667	8979	1242	0.5539452495974235
000000F_DK2_H2	-	000000F_DK2_H2.7	9352	9376	25	8425	9667	9364	1242	0.24396135265700483
000000F_DK2_H2	-	000000F_DK2_H2.7	9504	9547	44	8425	9667	9525.5	1242	0.1139291465378422
000000F_DK2_H2	+	000000F_DK2_H2.10	15183	15206	24	15816	14724	15194.5	1092	0.4308608058608059
000000F_DK2_H2	+	000000F_DK2_H2.10	15432	15453	22	15816	14724	15442.5	1092	0.657967032967033
000000F_DK2_H2	-	000000F_DK2_H2.14	22120	22142	23	22011	25076	22131	3065	0.9608482871125612
000000F_DK2_H2	-	000000F_DK2_H2.14	22266	22292	27	22011	25076	22279	3065	0.9125611745513866
000000F_DK2_H2	-	000000F_DK2_H2.14	22428	22449	22	22011	25076	22438.5	3065	0.8605220228384992
000000F_DK2_H2	-	000000F_DK2_H2.15	25413	25437	25	25307	26514	25425	1207	0.9022369511184756
000000F_DK2_H2	-	000000F_DK2_H2.15	25870	25892	23	25307	26514	25881	1207	0.5244407622203812
000000F_DK2_H2	-	000000F_DK2_H2.15	26349	26372	24	25307	26514	26360.5	1207	0.1271748135874068
000000F_DK2_H2	+	000000F_DK2_H2.17	28785	28810	26	29466	28639	28797.5	827	0.19165659008464328
000000F_DK2_H2	+	000000F_DK2_H2.17	28917	28947	31	29466	28639	28932	827	0.3542926239419589
000000F_DK2_H2	+	000000F_DK2_H2.17	29279	29303	25	29466	28639	29291	827	0.788391777509069
000000F_DK2_H2	-	000000F_DK2_H2.18	29489	29525	37	29478	31585	29507	2107	0.9862363550071191
000000F_DK2_H2	-	000000F_DK2_H2.18	30620	30641	22	29478	31585	30630.5	2107	0.4530137636449929
000000F_DK2_H2	-	000000F_DK2_H2.18	31290	31313	24	29478	31585	31301.5	2107	0.1345514950166113
000000F_DK2_H2	-	000000F_DK2_H2.18	31374	31401	28	29478	31585	31387.5	2107	0.09373516848599905
000000F_DK2_H2	-	000000F_DK2_H2.18	31423	31453	31	29478	31585	31438	2107	0.06976744186046512
000000F_DK2_H2	+	000000F_DK2_H2.24	41312	41334	23	42833	41247	41323	1586	0.04791929382093316
000000F_DK2_H2	+	000000F_DK2_H2.24	41429	41454	26	42833	41247	41441.5	1586	0.12263556116015133
000000F_DK2_H2	+	000000F_DK2_H2.24	41691	41716	26	42833	41247	41703.5	1586	0.2878310214375788
000000F_DK2_H2	+	000000F_DK2_H2.24	41999	42024	26	42833	41247	42011.5	1586	0.48203026481715006
000000F_DK2_H2	+	000000F_DK2_H2.24	42589	42610	22	42833	41247	42599.5	1586	0.8527742749054225
000000F_DK2_H2	+	000000F_DK2_H2.33	52101	52123	23	52351	51652	52112	699	0.6580829756795422
000000F_DK2_H2	-	000000F_DK2_H2.35	53542	53567	26	53430	56858	53554.5	3428	0.963681446907818
000000F_DK2_H2	-	000000F_DK2_H2.35	53677	53697	21	53430	56858	53687	3428	0.9250291715285881
000000F_DK2_H2	-	000000F_DK2_H2.35	54105	54132	28	53430	56858	54118.5	3428	0.7991540256709452
000000F_DK2_H2	-	000000F_DK2_H2.35	54378	54448	71	53430	56858	54413	3428	0.7132438739789965
000000F_DK2_H2	-	000000F_DK2_H2.35	55578	55601	24	53430	56858	55589.5	3428	0.37004084014002336
000000F_DK2_H2	-	000000F_DK2_H2.35	55780	55827	48	53430	56858	55803.5	3428	0.30761376896149356
000000F_DK2_H2	-	000000F_DK2_H2.35	56745	56770	26	53430	56858	56757.5	3428	0.029317386231038505
000000F_DK2_H2	+	000000F_DK2_H2.37	57971	57992	22	58437	57649	57981.5	788	0.4219543147208122
000000F_DK2_H2	+	000000F_DK2_H2.37	58126	58145	20	58437	57649	58135.5	788	0.6173857868020305
000000F_DK2_H2	-	000000F_DK2_H2.41	65872	65919	48	65803	66466	65895.5	663	0.8604826546003017
000000F_DK2_H2	-	000000F_DK2_H2.41	66050	66072	23	65803	66466	66061	663	0.6108597285067874
000000F_DK2_H2	-	000000F_DK2_H2.41	66258	66295	38	65803	66466	66276.5	663	0.28582202111613875
000000F_DK2_H2	+	000000F_DK2_H2.42	66677	66701	25	70812	66570	66689	4242	0.028052805280528052
000000F_DK2_H2	+	000000F_DK2_H2.42	66738	66762	25	70812	66570	66750	4242	0.042432814710042434
000000F_DK2_H2	+	000000F_DK2_H2.42	66929	66954	26	70812	66570	66941.5	4242	0.08757661480433758
000000F_DK2_H2	+	000000F_DK2_H2.42	67186	67210	25	70812	66570	67198	4242	0.14804337576614804
000000F_DK2_H2	+	000000F_DK2_H2.42	67650	67674	25	70812	66570	67662	4242	0.25742574257425743
