chr,strand,GeneID,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,IncLevelDifference,FDR,timepoints,A3SS_ID,longExonStart_1base,shortES_1base,short_exon_id,long_exon_id,A3SS_position,canonical_exon,A3SS_exon,A3_exon_start,A3_exon_end,can_exon_start,can_exon_end,distance_canSS_ASS,frameshift,three_prime_end,five_prime_end,A3SS_site,relative_distance_A3SS_to_5_end,can_intron_start,can_intron_end,intron_id_start,intron_id_end
000176F_DK2_H1,-,000176F_DK2_H1.34,50638,50823,50638,50816,50843,50956,0.16,0.00465834426437795,AM2,000176F_DK2_H1.3450638508235063850816,50639,50639,000176F_DK2_H1_50639_50816,000176F_DK2_H1_50639_50823,exon,000176F_DK2_H1_50639_50823,000176F_DK2_H1_50639_50816,50639,50816,50639,50823,7,3n+1,50639,50956,50816,0.4416403785488959,NA,50843,000176F_DK2_H1_NA,000176F_DK2_H1_50843
000170F_DK2_H1,+,000170F_DK2_H1.13,20752,21011,20759,21011,20585,20730,-0.156,0.00685494934321737,AM2,000170F_DK2_H1.1320752210112075921011,20753,20760,000170F_DK2_H1_20760_21011,000170F_DK2_H1_20753_21011,intron,000170F_DK2_H1_20760_21011,000170F_DK2_H1_20753_21011,20753,21011,20760,21011,7,3n+1,23103,19201,20753,0.39774474628395695,20731,NA,000170F_DK2_H1_20731,000170F_DK2_H1_NA
000088F_DK2_H1,+,000088F_DK2_H1.55,66887,67267,66891,67267,66716,66862,0.173,6.76560890582178e-6,AM2,000088F_DK2_H1.5566887672676689167267,66888,66892,000088F_DK2_H1_66892_67267,000088F_DK2_H1_66888_67267,exon,000088F_DK2_H1_66888_67267,000088F_DK2_H1_66892_67267,66892,67267,66888,67267,4,3n+1,67267,66717,66892,0.3181818181818182,66863,NA,000088F_DK2_H1_66863,000088F_DK2_H1_NA
000239F_DK2_H2,+,000239F_DK2_H2.11,28420,28591,28422,28591,27933,28398,0.14,3.6067171758744e-4,AM2,000239F_DK2_H2.1128420285912842228591,28421,28423,000239F_DK2_H2_28423_28591,000239F_DK2_H2_28421_28591,exon,000239F_DK2_H2_28421_28591,000239F_DK2_H2_28423_28591,28423,28591,28421,28591,2,3n+1,30000,26688,28423,0.523852657004831,28399,NA,000239F_DK2_H2_28399,000239F_DK2_H2_NA
000046F_DK2_H1,-,000046F_DK2_H1.75,117564,117759,117564,117757,117779,117976,0.232,1.6188788486367145e-6,AM2,000046F_DK2_H1.75117564117759117564117757,117565,117565,000046F_DK2_H1_117565_117757,000046F_DK2_H1_117565_117759,exon,000046F_DK2_H1_117565_117759,000046F_DK2_H1_117565_117757,117565,117757,117565,117759,2,3n+1,117565,117976,117757,0.5328467153284672,NA,117779,000046F_DK2_H1_NA,000046F_DK2_H1_117779
000043F_DK2_H2,+,000043F_DK2_H2.48,76503,76655,76508,76655,76347,76478,0.216,0.00549875389460892,AM2,000043F_DK2_H2.4876503766557650876655,76504,76509,000043F_DK2_H2_76509_76655,000043F_DK2_H2_76504_76655,exon,000043F_DK2_H2_76504_76655,000043F_DK2_H2_76509_76655,76509,76655,76504,76655,5,3n+1,81277,76348,76509,0.03266382633394198,76479,NA,000043F_DK2_H2_76479,000043F_DK2_H2_NA
000043F_DK2_H2,+,000043F_DK2_H2.48,76677,76950,76679,76950,76503,76655,-0.462,1.4702500636332357e-5,AM2,000043F_DK2_H2.4876677769507667976950,76678,76680,000043F_DK2_H2_76680_76950,000043F_DK2_H2_76678_76950,intron,000043F_DK2_H2_76680_76950,000043F_DK2_H2_76678_76950,76678,76950,76680,76950,2,3n+1,81277,76348,76678,0.06695069993913573,76656,NA,000043F_DK2_H2_76656,000043F_DK2_H2_NA
000053F_DK2_H2,-,000053F_DK2_H2.64,91765,92093,91765,92091,92116,92416,-0.11,0.01465256528647781,AM2,000053F_DK2_H2.6491765920939176592091,91766,91766,000053F_DK2_H2_91766_92091,000053F_DK2_H2_91766_92093,exon,000053F_DK2_H2_91766_92093,000053F_DK2_H2_91766_92091,91766,92091,91766,92093,2,3n+1,89528,92416,92091,0.11253462603878116,NA,92116,000053F_DK2_H2_NA,000053F_DK2_H2_92116
000004F_DK2_H1,+,000004F_DK2_H1.12,31604,31959,31606,31959,31200,31581,0.134,0.02343506626318062,AM2,000004F_DK2_H1.1231604319593160631959,31605,31607,000004F_DK2_H1_31607_31959,000004F_DK2_H1_31605_31959,exon,000004F_DK2_H1_31605_31959,000004F_DK2_H1_31607_31959,31607,31959,31605,31959,2,3n+1,31959,30851,31607,0.6823104693140795,31582,NA,000004F_DK2_H1_31582,000004F_DK2_H1_NA
000083F_DK2_H1,-,000083F_DK2_H1.88,103024,103484,103024,103471,103506,103640,0.172,0.00187531519895182,AM2,000083F_DK2_H1.88103024103484103024103471,103025,103025,000083F_DK2_H1_103025_103471,000083F_DK2_H1_103025_103484,exon,000083F_DK2_H1_103025_103484,000083F_DK2_H1_103025_103471,103025,103471,103025,103484,13,3n+1,103025,103899,103471,0.4897025171624714,NA,103506,000083F_DK2_H1_NA,000083F_DK2_H1_103506
000104F_DK2_H2,+,000104F_DK2_H2.40,49516,49619,49529,49619,48961,49493,0.16,0.01354899240599528,AM2,000104F_DK2_H2.4049516496194952949619,49517,49530,000104F_DK2_H2_49530_49619,000104F_DK2_H2_49517_49619,exon,000104F_DK2_H2_49517_49619,000104F_DK2_H2_49530_49619,49530,49619,49517,49619,13,3n+1,49962,48364,49530,0.7296620775969962,49494,NA,000104F_DK2_H2_49494,000104F_DK2_H2_NA
000047F_DK2_H2,+,000047F_DK2_H2.58,88215,88303,88217,88303,88064,88193,0.11,0.01838275719378736,AM2,000047F_DK2_H2.5888215883038821788303,88216,88218,000047F_DK2_H2_88218_88303,000047F_DK2_H2_88216_88303,exon,000047F_DK2_H2_88216_88303,000047F_DK2_H2_88218_88303,88218,88303,88216,88303,2,3n+1,89668,88065,88218,0.09544603867747972,88194,NA,000047F_DK2_H2_88194,000047F_DK2_H2_NA
000029F_DK2_H2,+,000029F_DK2_H2.8,12429,12642,12431,12642,12372,12408,-0.153,1.9255994021527463e-10,AM2,000029F_DK2_H2.812429126421243112642,12430,12432,000029F_DK2_H2_12432_12642,000029F_DK2_H2_12430_12642,intron,000029F_DK2_H2_12432_12642,000029F_DK2_H2_12430_12642,12430,12642,12432,12642,2,3n+1,13719,12373,12430,0.04234769687964339,12409,NA,000029F_DK2_H2_12409,000029F_DK2_H2_NA
000022F_DK2_H1,-,000022F_DK2_H1.60,83378,83733,83378,83719,83756,83801,0.115,0.00287154269247537,AM2,000022F_DK2_H1.6083378837338337883719,83379,83379,000022F_DK2_H1_83379_83719,000022F_DK2_H1_83379_83733,exon,000022F_DK2_H1_83379_83733,000022F_DK2_H1_83379_83719,83379,83719,83379,83733,14,3n+1,83129,83801,83719,0.12202380952380952,NA,83756,000022F_DK2_H1_NA,000022F_DK2_H1_83756
000019F_DK2_H2,-,000019F_DK2_H2.91,139543,139880,139543,139875,139902,140219,0.139,0.01752208538692909,AM2,000019F_DK2_H2.91139543139880139543139875,139544,139544,000019F_DK2_H2_139544_139875,000019F_DK2_H2_139544_139880,exon,000019F_DK2_H2_139544_139880,000019F_DK2_H2_139544_139875,139544,139875,139544,139880,5,3n+1,139544,140345,139875,0.5867665418227216,NA,139902,000019F_DK2_H2_NA,000019F_DK2_H2_139902
000185F_DK2_H1,-,000185F_DK2_H1.2,2999,3179,2999,3174,3202,4650,-0.272,9.448753388162173e-8,AM2,000185F_DK2_H1.22999317929993174,3000,3000,000185F_DK2_H1_3000_3174,000185F_DK2_H1_3000_3179,intron,000185F_DK2_H1_3000_3174,000185F_DK2_H1_3000_3179,3000,3179,3000,3174,5,3n+1,2191,5455,3179,0.6973039215686274,NA,3202,000185F_DK2_H1_NA,000185F_DK2_H1_3202
000024F_DK2_H1,+,000024F_DK2_H1.73,127702,128037,127716,128037,127342,127682,0.131,0.00195201228097992,AM2,000024F_DK2_H1.73127702128037127716128037,127703,127717,000024F_DK2_H1_127717_128037,000024F_DK2_H1_127703_128037,exon,000024F_DK2_H1_127703_128037,000024F_DK2_H1_127717_128037,127717,128037,127703,128037,14,3n+1,128901,127192,127717,0.30719719133996487,127683,NA,000024F_DK2_H1_127683,000024F_DK2_H1_NA
000000F_DK2_H2,+,000000F_DK2_H2.111,222143,222606,222145,222606,221425,222121,0.222,0.00562288072052232,AM2,000000F_DK2_H2.111222143222606222145222606,222144,222146,000000F_DK2_H2_222146_222606,000000F_DK2_H2_222144_222606,exon,000000F_DK2_H2_222144_222606,000000F_DK2_H2_222146_222606,222146,222606,222144,222606,2,3n+1,222823,221426,222146,0.5153901216893343,222122,NA,000000F_DK2_H2_222122,000000F_DK2_H2_NA
000036F_DK2_H1,-,000036F_DK2_H1.8,10152,10649,10152,10647,10671,11538,-0.132,2.5146408734021e-4,AM2,000036F_DK2_H1.810152106491015210647,10153,10153,000036F_DK2_H1_10153_10647,000036F_DK2_H1_10153_10649,intron,000036F_DK2_H1_10153_10647,000036F_DK2_H1_10153_10649,10153,10649,10153,10647,2,3n+1,10153,11538,10649,0.6418772563176895,NA,10671,000036F_DK2_H1_NA,000036F_DK2_H1_10671
000066F_DK2_H2,-,000066F_DK2_H2.34,34911,35287,34911,35285,35310,35699,0.112,0.01853512732998539,AM2,000066F_DK2_H2.3434911352873491135285,34912,34912,000066F_DK2_H2_34912_35285,000066F_DK2_H2_34912_35287,exon,000066F_DK2_H2_34912_35287,000066F_DK2_H2_34912_35285,34912,35285,34912,35287,2,3n+1,34589,35975,35285,0.49783549783549785,NA,35310,000066F_DK2_H2_NA,000066F_DK2_H2_35310
000029F_DK2_H2,+,000029F_DK2_H2.57,112632,112962,112636,112962,112324,112607,-0.347,1.2401852720016834e-6,AM2,000029F_DK2_H2.57112632112962112636112962,112633,112637,000029F_DK2_H2_112637_112962,000029F_DK2_H2_112633_112962,intron,000029F_DK2_H2_112637_112962,000029F_DK2_H2_112633_112962,112633,112962,112637,112962,4,3n+1,112962,112231,112633,0.5499316005471956,112608,NA,000029F_DK2_H2_112608,000029F_DK2_H2_NA
000016F_DK2_H1,+,000016F_DK2_H1.10,17426,17546,17428,17546,17176,17407,-0.116,0.00407162060445945,AM2,000016F_DK2_H1.1017426175461742817546,17427,17429,000016F_DK2_H1_17429_17546,000016F_DK2_H1_17427_17546,intron,000016F_DK2_H1_17429_17546,000016F_DK2_H1_17427_17546,17427,17546,17429,17546,2,3n+1,19063,17177,17427,0.1325556733828208,17408,NA,000016F_DK2_H1_17408,000016F_DK2_H1_NA
000006F_DK2_H1,-,000006F_DK2_H1.39,79503,79712,79503,79708,79732,79997,0.101,0.03786244122629228,AM2,000006F_DK2_H1.3979503797127950379708,79504,79504,000006F_DK2_H1_79504_79708,000006F_DK2_H1_79504_79712,intron,000006F_DK2_H1_79504_79708,000006F_DK2_H1_79504_79712,79504,79712,79504,79708,4,3n+1,78779,80185,79712,0.3364153627311522,NA,79732,000006F_DK2_H1_NA,000006F_DK2_H1_79732
000035F_DK2_H2,+,000035F_DK2_H2.64,98076,98161,98078,98161,97727,98052,-0.299,4.2581476569011e-4,AM2,000035F_DK2_H2.6498076981619807898161,98077,98079,000035F_DK2_H2_98079_98161,000035F_DK2_H2_98077_98161,intron,000035F_DK2_H2_98079_98161,000035F_DK2_H2_98077_98161,98077,98161,98079,98161,2,3n+1,98552,97538,98077,0.5315581854043393,98053,NA,000035F_DK2_H2_98053,000035F_DK2_H2_NA
000002F_DK2_H1,+,000002F_DK2_H1.19,34763,34920,34767,34920,34633,34737,-0.119,0.00638253915954244,AM2,000002F_DK2_H1.1934763349203476734920,34764,34768,000002F_DK2_H1_34768_34920,000002F_DK2_H1_34764_34920,exon,000002F_DK2_H1_34764_34920,000002F_DK2_H1_34768_34920,34768,34920,34764,34920,4,3n+1,36484,34348,34768,0.19662921348314608,34738,NA,000002F_DK2_H1_34738,000002F_DK2_H1_NA
000010F_DK2_H2,-,000010F_DK2_H2.28,39824,40174,39824,40169,40199,40461,0.379,6.76560890582178e-6,AM2,000010F_DK2_H2.2839824401743982440169,39825,39825,000010F_DK2_H2_39825_40169,000010F_DK2_H2_39825_40174,exon,000010F_DK2_H2_39825_40174,000010F_DK2_H2_39825_40169,39825,40169,39825,40174,5,3n+1,37609,40461,40169,0.10238429172510519,NA,40199,000010F_DK2_H2_NA,000010F_DK2_H2_40199
000000F_DK2_H1,+,000000F_DK2_H1.3,1269,1582,1271,1582,1000,1247,-0.124,0.00907171591495244,AM2,000000F_DK2_H1.31269158212711582,1270,1272,000000F_DK2_H1_1272_1582,000000F_DK2_H1_1270_1582,intron,000000F_DK2_H1_1272_1582,000000F_DK2_H1_1270_1582,1270,1582,1272,1582,2,3n+1,1954,1001,1270,0.28226652675760755,1248,NA,000000F_DK2_H1_1248,000000F_DK2_H1_NA
000006F_DK2_H2,-,000006F_DK2_H2.61,117815,117939,117815,117934,117962,118174,-0.124,0.00863638675012519,AM2,000006F_DK2_H2.61117815117939117815117934,117816,117816,000006F_DK2_H2_117816_117934,000006F_DK2_H2_117816_117939,intron,000006F_DK2_H2_117816_117934,000006F_DK2_H2_117816_117939,117816,117939,117816,117934,5,3n+1,116922,119345,117939,0.5802723895996699,NA,117962,000006F_DK2_H2_NA,000006F_DK2_H2_117962
000234F_DK2_H1,+,000234F_DK2_H1.12,16531,16809,16538,16809,15681,16510,0.108,0.01295928904041942,AM2,000234F_DK2_H1.1216531168091653816809,16532,16539,000234F_DK2_H1_16539_16809,000234F_DK2_H1_16532_16809,exon,000234F_DK2_H1_16532_16809,000234F_DK2_H1_16539_16809,16539,16809,16532,16809,7,3n+1,17890,15521,16539,0.429717180244829,16511,NA,000234F_DK2_H1_16511,000234F_DK2_H1_NA
000165F_DK2_H1,-,000165F_DK2_H1.15,24677,24755,24677,24751,24775,24905,0.168,0.00230719307826363,AM2,000165F_DK2_H1.1524677247552467724751,24678,24678,000165F_DK2_H1_24678_24751,000165F_DK2_H1_24678_24755,exon,000165F_DK2_H1_24678_24755,000165F_DK2_H1_24678_24751,24678,24751,24678,24755,4,3n+1,24465,24905,24751,0.35,NA,24775,000165F_DK2_H1_NA,000165F_DK2_H1_24775
000008F_DK2_H1,-,000008F_DK2_H1.116,149462,149796,149462,149792,149819,150409,0.145,5.1565645714791e-4,AM2,000008F_DK2_H1.116149462149796149462149792,149463,149463,000008F_DK2_H1_149463_149792,000008F_DK2_H1_149463_149796,exon,000008F_DK2_H1_149463_149796,000008F_DK2_H1_149463_149792,149463,149792,149463,149796,4,3n+1,149206,150409,149792,0.512884455527847,NA,149819,000008F_DK2_H1_NA,000008F_DK2_H1_149819
000101F_DK2_H2,+,000101F_DK2_H2.15,23908,24101,23918,24101,23855,23886,0.105,0.00207717860857781,AM2,000101F_DK2_H2.1523908241012391824101,23909,23919,000101F_DK2_H2_23919_24101,000101F_DK2_H2_23909_24101,exon,000101F_DK2_H2_23909_24101,000101F_DK2_H2_23919_24101,23919,24101,23909,24101,10,3n+1,24654,23856,23919,0.07894736842105263,23887,NA,000101F_DK2_H2_23887,000101F_DK2_H2_NA
000014F_DK2_H1,-,000014F_DK2_H1.1,3977,4250,3977,4246,4274,4467,-0.293,4.168507707008084e-5,AM2,000014F_DK2_H1.13977425039774246,3978,3978,000014F_DK2_H1_3978_4246,000014F_DK2_H1_3978_4250,intron,000014F_DK2_H1_3978_4246,000014F_DK2_H1_3978_4250,3978,4250,3978,4246,4,3n+1,102,4804,4250,0.11782220331773713,NA,4274,000014F_DK2_H1_NA,000014F_DK2_H1_4274
000021F_1-134709_DK2_H2,+,000021F_1-134709_DK2_H2.58,70464,70601,70472,70601,70270,70442,0.231,0.00269032620228539,AM2,000021F_1-134709_DK2_H2.5870464706017047270601,70465,70473,000021F_1-134709_DK2_H2_70473_70601,000021F_1-134709_DK2_H2_70465_70601,exon,000021F_1-134709_DK2_H2_70465_70601,000021F_1-134709_DK2_H2_70473_70601,70473,70601,70465,70601,8,3n+1,71051,70271,70473,0.258974358974359,70443,NA,000021F_1-134709_DK2_H2_70443,000021F_1-134709_DK2_H2_NA
000149F_DK2_H1,-,000149F_DK2_H1.6,8726,9068,8726,9061,9092,9468,0.116,0.00239733698650867,AM2,000149F_DK2_H1.68726906887269061,8727,8727,000149F_DK2_H1_8727_9061,000149F_DK2_H1_8727_9068,exon,000149F_DK2_H1_8727_9068,000149F_DK2_H1_8727_9061,8727,9061,8727,9068,7,3n+1,7538,9468,9061,0.21088082901554403,NA,9092,000149F_DK2_H1_NA,000149F_DK2_H1_9092
000061F_DK2_H2,-,000061F_DK2_H2.10,27817,27977,27817,27967,27997,28382,0.196,0.03263477281220729,AM2,000061F_DK2_H2.1027817279772781727967,27818,27818,000061F_DK2_H2_27818_27967,000061F_DK2_H2_27818_27977,exon,000061F_DK2_H2_27818_27977,000061F_DK2_H2_27818_27967,27818,27967,27818,27977,10,3n+1,27293,28382,27967,0.3810835629017447,NA,27997,000061F_DK2_H2_NA,000061F_DK2_H2_27997
000067F_DK2_H1,+,000067F_DK2_H1.55,81663,81945,81668,81945,81215,81641,-0.16,0.01584426171912223,AM2,000067F_DK2_H1.5581663819458166881945,81664,81669,000067F_DK2_H1_81669_81945,000067F_DK2_H1_81664_81945,exon,000067F_DK2_H1_81664_81945,000067F_DK2_H1_81669_81945,81669,81945,81664,81945,5,3n+1,81945,80366,81669,0.8252058264724509,81642,NA,000067F_DK2_H1_81642,000067F_DK2_H1_NA
000217F_DK2_H1,-,000217F_DK2_H1.22,38580,38736,38580,38726,38756,38895,0.117,0.00469387419135454,AM2,000217F_DK2_H1.2238580387363858038726,38581,38581,000217F_DK2_H1_38581_38726,000217F_DK2_H1_38581_38736,exon,000217F_DK2_H1_38581_38736,000217F_DK2_H1_38581_38726,38581,38726,38581,38736,10,3n+1,37221,38895,38726,0.1009557945041816,NA,38756,000217F_DK2_H1_NA,000217F_DK2_H1_38756
000101F_DK2_H1,+,000101F_DK2_H1.17,23906,24098,23916,24098,23739,23884,0.135,3.6067171758744e-4,AM2,000101F_DK2_H1.1723906240982391624098,23907,23917,000101F_DK2_H1_23917_24098,000101F_DK2_H1_23907_24098,exon,000101F_DK2_H1_23907_24098,000101F_DK2_H1_23917_24098,23917,24098,23907,24098,10,3n+1,24652,23587,23917,0.30985915492957744,23885,NA,000101F_DK2_H1_23885,000101F_DK2_H1_NA
000068F_DK2_H1,+,000068F_DK2_H1.107,156756,156914,156758,156914,156511,156732,-0.14,4.1544126491567e-4,AM2,000068F_DK2_H1.107156756156914156758156914,156757,156759,000068F_DK2_H1_156759_156914,000068F_DK2_H1_156757_156914,intron,000068F_DK2_H1_156759_156914,000068F_DK2_H1_156757_156914,156757,156914,156759,156914,2,3n+1,157461,156512,156757,0.2581664910432034,156733,NA,000068F_DK2_H1_156733,000068F_DK2_H1_NA
000099F_DK2_H1,-,000099F_DK2_H1.36,61694,62125,61694,62120,62156,62375,0.336,6.791209171069069e-5,AM2,000099F_DK2_H1.3661694621256169462120,61695,61695,000099F_DK2_H1_61695_62120,000099F_DK2_H1_61695_62125,exon,000099F_DK2_H1_61695_62125,000099F_DK2_H1_61695_62120,61695,62120,61695,62125,5,3n+1,61520,62375,62120,0.2982456140350877,NA,62156,000099F_DK2_H1_NA,000099F_DK2_H1_62156
000002F_DK2_H1,-,000002F_DK2_H1.52,99784,100118,99784,100111,100140,100324,-0.119,0.04958460455975407,AM2,000002F_DK2_H1.529978410011899784100111,99785,99785,000002F_DK2_H1_99785_100111,000002F_DK2_H1_99785_100118,exon,000002F_DK2_H1_99785_100118,000002F_DK2_H1_99785_100111,99785,100111,99785,100118,7,3n+1,99785,100324,100111,0.39517625231910947,NA,100140,000002F_DK2_H1_NA,000002F_DK2_H1_100140
000000F_DK2_H1,+,000000F_DK2_H1.26,44763,45256,44772,45256,44291,44733,0.137,0.00695075608260934,AM2,000000F_DK2_H1.2644763452564477245256,44764,44773,000000F_DK2_H1_44773_45256,000000F_DK2_H1_44764_45256,exon,000000F_DK2_H1_44764_45256,000000F_DK2_H1_44773_45256,44773,45256,44764,45256,9,3n,45961,43083,44773,0.5872133425990271,44734,NA,000000F_DK2_H1_44734,000000F_DK2_H1_NA
000083F_DK2_H1,-,000083F_DK2_H1.49,54835,55028,54835,55026,55050,55161,-0.113,0.00209342539604371,AM2,000083F_DK2_H1.4954835550285483555026,54836,54836,000083F_DK2_H1_54836_55026,000083F_DK2_H1_54836_55028,intron,000083F_DK2_H1_54836_55026,000083F_DK2_H1_54836_55028,54836,55028,54836,55026,2,3n+1,54288,55161,55028,0.15234822451317298,NA,55050,000083F_DK2_H1_NA,000083F_DK2_H1_55050
000089F_DK2_H1,+,000089F_DK2_H1.64,73726,74219,73734,74219,73568,73706,0.148,0.00212795511884866,AM2,000089F_DK2_H1.6473726742197373474219,73727,73735,000089F_DK2_H1_73735_74219,000089F_DK2_H1_73727_74219,exon,000089F_DK2_H1_73727_74219,000089F_DK2_H1_73735_74219,73735,74219,73727,74219,8,3n+1,74983,73481,73735,0.16910785619174434,73707,NA,000089F_DK2_H1_73707,000089F_DK2_H1_NA
000101F_DK2_H1,+,000101F_DK2_H1.28,39077,39234,39082,39234,38944,39054,0.161,0.01839295380451926,AM2,000101F_DK2_H1.2839077392343908239234,39078,39083,000101F_DK2_H1_39083_39234,000101F_DK2_H1_39078_39234,exon,000101F_DK2_H1_39078_39234,000101F_DK2_H1_39083_39234,39083,39234,39078,39234,5,3n+1,40251,38945,39083,0.10566615620214395,39055,NA,000101F_DK2_H1_39055,000101F_DK2_H1_NA
000085F_DK2_H1,-,000085F_DK2_H1.72,105215,105581,105215,105579,105602,106101,0.131,0.00114032416178886,AM2,000085F_DK2_H1.72105215105581105215105579,105216,105216,000085F_DK2_H1_105216_105579,000085F_DK2_H1_105216_105581,exon,000085F_DK2_H1_105216_105581,000085F_DK2_H1_105216_105579,105216,105579,105216,105581,2,3n+1,104308,106968,105579,0.5221804511278195,NA,105602,000085F_DK2_H1_NA,000085F_DK2_H1_105602
000033F_DK2_H2,-,000033F_DK2_H2.27,38687,38975,38687,38968,38995,39387,0.156,0.01104085679261601,AM2,000033F_DK2_H2.2738687389753868738968,38688,38688,000033F_DK2_H2_38688_38968,000033F_DK2_H2_38688_38975,exon,000033F_DK2_H2_38688_38975,000033F_DK2_H2_38688_38968,38688,38968,38688,38975,7,3n+1,38181,39457,38968,0.3832288401253918,NA,38995,000033F_DK2_H2_NA,000033F_DK2_H2_38995
